# cnpg bridge tuning verification v1, rate=48000, gate=+/-2.000 cents over MIDI 21-96 inside the provisional Normal range (ADR 0007 D7: coupling <= 0.35, resonance <= 330 Hz, damping 0.15-1.00)
coupling,resonanceHz,damping,midiNote,targetHz,centsError,compensationSamples,converged,normalRange
0.000,20.0,0.050,21,27.5000,-0.000536,0.000000,1,0
0.000,20.0,0.050,33,55.0000,0.000017,0.000000,1,0
0.000,20.0,0.050,40,82.4069,0.000200,0.000000,1,0
0.000,20.0,0.050,45,110.0000,-0.000010,0.000000,1,0
0.000,20.0,0.050,52,164.8138,0.000098,0.000000,1,0
0.000,20.0,0.050,57,220.0000,-0.000010,0.000000,1,0
0.000,20.0,0.050,64,329.6276,-0.000002,0.000000,1,0
0.000,20.0,0.050,69,440.0000,-0.000009,0.000000,1,0
0.000,20.0,0.050,76,659.2551,0.000013,0.000000,1,0
0.000,20.0,0.050,81,880.0000,-0.000009,0.000000,1,0
0.000,20.0,0.050,88,1318.5102,0.000047,0.000000,1,0
0.000,20.0,0.050,93,1760.0000,-0.000009,0.000000,1,0
0.000,20.0,0.050,96,2093.0045,0.000102,0.000000,1,0
0.000,20.0,0.150,21,27.5000,-0.000536,0.000000,1,1
0.000,20.0,0.150,33,55.0000,0.000017,0.000000,1,1
0.000,20.0,0.150,40,82.4069,0.000200,0.000000,1,1
0.000,20.0,0.150,45,110.0000,-0.000010,0.000000,1,1
0.000,20.0,0.150,52,164.8138,0.000098,0.000000,1,1
0.000,20.0,0.150,57,220.0000,-0.000010,0.000000,1,1
0.000,20.0,0.150,64,329.6276,-0.000002,0.000000,1,1
0.000,20.0,0.150,69,440.0000,-0.000009,0.000000,1,1
0.000,20.0,0.150,76,659.2551,0.000013,0.000000,1,1
0.000,20.0,0.150,81,880.0000,-0.000009,0.000000,1,1
0.000,20.0,0.150,88,1318.5102,0.000047,0.000000,1,1
0.000,20.0,0.150,93,1760.0000,-0.000009,0.000000,1,1
0.000,20.0,0.150,96,2093.0045,0.000102,0.000000,1,1
0.000,20.0,0.500,21,27.5000,-0.000536,0.000000,1,1
0.000,20.0,0.500,33,55.0000,0.000017,0.000000,1,1
0.000,20.0,0.500,40,82.4069,0.000200,0.000000,1,1
0.000,20.0,0.500,45,110.0000,-0.000010,0.000000,1,1
0.000,20.0,0.500,52,164.8138,0.000098,0.000000,1,1
0.000,20.0,0.500,57,220.0000,-0.000010,0.000000,1,1
0.000,20.0,0.500,64,329.6276,-0.000002,0.000000,1,1
0.000,20.0,0.500,69,440.0000,-0.000009,0.000000,1,1
0.000,20.0,0.500,76,659.2551,0.000013,0.000000,1,1
